TRM Promotional Pop-up,TRM Promotional Pop-up
Pop-up Browser Configuration,Pop-up Browser Configuration
Browser Exceptions,Browser Exceptions
Excluse these browsers from seeing the pop-up,Excluse these browsers from seeing the pop-up
Disable Below Width,Disable Below Width
Disable pop-up when browser dimensions below specified width. Eg 720,Disable pop-up when browser dimensions below specified width. Eg 720
Tablet Width,Tablet Width
Show tablet pop-up if available when width is at or below specified width Eg 720,Show tablet pop-up if available when width is at or below specified width Eg 720
Mobile Width,Mobile Width
Show mobile pop-up if available when width is at or below specified width Eg 500,Show mobile pop-up if available when width is at or below specified width Eg 500
Pop-up Tracking Configuration,Pop-up Tracking Configuration
Tracking Options,Tracking Options
Select which external Analytics platforms will receive conversion information,Select which external Analytics platforms will receive conversion information
Event Category,Event Category
The event category which pop-up events will be recorded into Eg. Customer,The event category which pop-up events will be recorded into Eg. Customer
View Event Action,View Event Action
The event action which pop-up events will be recorded into Eg. Pop-up View,The event action which pop-up events will be recorded into Eg. Pop-up View
Conversion Event Action,Conversion Event Action
The event action which pop-up events will be recorded into Eg. Pop-up Subscription,The event action which pop-up events will be recorded into Eg. Pop-up Subscription
Desktop Pop-up Label Append,Desktop Pop-up Label Append
Appended to the end of label for desktops pop-ups. Eg. (Desktop),Appended to the end of label for desktops pop-ups. Eg. (Desktop)
Tablet Pop-up Label Append,Tablet Pop-up Label Append
Appended to the end of label for tablet pop-ups. Eg. (Tablet),Appended to the end of label for tablet pop-ups. Eg. (Tablet)
Mobile Pop-up Label Append,Mobile Pop-up Label Append
Appended to the end of label for mobile pop-ups. Eg. (Mobile),Appended to the end of label for mobile pop-ups. Eg. (Mobile)
Pop-up Modal Settings,Pop-up Modal Settings
Modal Click Close,Modal Click Close
Ability to click modal to close pop-up.,Ability to click modal to close pop-up.
Modal Color,Modal Color
Color of the modal layer that will obscrube the webpage until pop-up is closed,Color of the modal layer that will obscrube the webpage until pop-up is closed
Modal Opacity,Modal Opacity
Opacity 1 for opaque and 0 for transparent 0.5 for 50% opacity,Opacity 1 for opaque and 0 for transparent 0.5 for 50% opacity
Fade In Duration,Fade In Duration
Speed at which the modal background fades in.,Speed at which the modal background fades in.
Fade Out Duration,Fade Out Duration
Speed at which the modal background fades out.,Speed at which the modal background fades out.
Subscription Email Configuration,Subscription Email Configuration
Promotional Pop-ups Email Sender,Promotional Pop-ups Email Sender
Template,Template
Skip Zend Validation,Skip Zend Validation
Skip Zend validation of emails,Skip Zend validation of emails
Enable No Guest,Enable No Guest
Respect store guest subscription policy,Respect store guest subscription policy
Email No Guest,Email No Guest
"Sorry, but administrator denied subscription for guests.","Sorry, but administrator denied subscription for guests."
Enable Existing Email,Enable Existing Email
Respect existing customer email check,Respect existing customer email check
Email Customer Exists,Email Customer Exists
This email address is already assigned to another user.,This email address is already assigned to another user.
Enable No Duplicates,Enable No Duplicates
Respect store guest subscription policy,Respect store guest subscription policy
No Duplicate Message,No Duplicate Message
"Sorry, this email is already subscribed.","Sorry, this email is already subscribed."
Exit Pop-up Configuration,Exit Pop-up Configuration
The amount of time that a page must be loaded for before an exit pop-up can be retieved. Recommended 5 seconds minmum.,The amount of time that a page must be loaded for before an exit pop-up can be retieved. Recommended 5 seconds minmum.
Initialization Delay,Initialization Delay
ID,ID
Title,Title
Views,Views
Conversions,Conversions
Sort Order,Sort Order
Open Automatically,Open Automatically
Action,Action
Edit,Edit
Preview,Preview
CSV,CSV
XML,XML
Delete,Delete
Are you sure?,Are you sure?
Change status,Change status
Status,Status
Save Pop-up,Save Pop-up
Delete Pop-up,Delete Pop-up
Save And Continue Edit,Save And Continue Edit
Add Item,Add Item
Edit Item '%s',Edit Item '%s'
Pop-up Settings,Pop-up Settings
Pop-up Setup,Pop-up Setup
Template & Modal Setup,Template & Modal Setup
Desktop Pop-up,Desktop Pop-up
Desktop Design Setup,Desktop Design Setup
Tablet Pop-up,Tablet Pop-up
Tablet Design Setup,Tablet Design Setup
Mobile Pop-up,Mobile Pop-up
Mobile Design Setup,Mobile Design Setup
Pop-up Events,Pop-up Events
Store View,Store View
Customer Groups,Customer Groups
Unique Cookie Name,Unique Cookie Name
Cookie Expiry,Cookie Expiry
Session,Session
10 Seconds,10 Seconds
100 Seconds,100 Seconds
30 minutes,30 minutes
1 Hour,1 Hour
12 Hours,12 Hours
24 Hours,24 Hours
2 Days,2 Days
1 Week,1 Week
2 Weeks,2 Weeks
1 Month,1 Month
3 Months,3 Months
6 Months,6 Months
1 Year,1 Year
Show Pop-up From Date,Show Pop-up From Date
From date,From date
Show Pop-up Until Date,Show Pop-up Until Date
Until date,Until date
Enabled,Enabled
Disabled,Disabled
CSS Reset,CSS Reset
Open Delay,Open Delay
Open Immediately,Open Immediately
15 Seconds,15 Seconds
30 Seconds,30 Seconds
60 Seconds,60 Seconds
120 Seconds,120 Seconds
Auto-close Delay,Auto-close Delay
Close Button,Close Button
Close Button Image,Close Button Image
Close Label,Close Label
Label Color,Label Color
Close Button Position,Close Button Position
Top Left,Top Left
Top Right,Top Right
Bottom Left,Bottom Left
Bottom Right,Bottom Right
Horizontal Offset,Horizontal Offset
Vertical Offset,Vertical Offset
Modal Background Settings,Modal Background Settings
Modal Video Background MP4,Modal Video Background MP4
Modal Video Background OGV,Modal Video Background OGV
Video Loop,Video Loop
Modal Background,Modal Background
Modal Opacity Override,Modal Opacity Override
Use Default,Use Default
10%,10%
20%,20%
30%,30%
40%,40%
50%,50%
60%,60%
70%,70%
80%,80%
90%,90%
100%,100%
Chained Pop-up No Conversion Close,Chained Pop-up No Conversion Close
Chained Pop-up Conversion Close,Chained Pop-up Conversion Close
Background Image,Background Image
Background Color,Background Color
Width,Width
Height,Height
Additional Styles,Additional Styles
Content,Content
Tablet Pop-up Status,Tablet Pop-up Status
Mobile Pop-up Status,Mobile Pop-up Status
Pop-up Configuration,Pop-up Configuration
TRM Marketing - You Tube Player for Magento Pop-up,TRM Marketing - You Tube Player for Magento Pop-up
Adds a You Tube player for use in Magento Pop-ups extension,Adds a You Tube player for use in Magento Pop-ups extension
YouTube Video ID,YouTube Video ID
YouTube Video ID: Example XXXXXX is the ID http://youtu.be/XXXXXX ,YouTube Video ID: Example XXXXXX is the ID http://youtu.be/XXXXXX 
"Width of video, Example: 720","Width of video, Example: 720"
"Height of video, Example: 480","Height of video, Example: 480"
Autoplay Video,Autoplay Video
No,No
Yes,Yes
Frontend Template,Frontend Template
Standard YouTube Player,Standard YouTube Player
TRM Marketing - Wistia Player for Magento Pop-up,TRM Marketing - Wistia Player for Magento Pop-up
Adds a Wistia player for use in Magento Pop-ups extension,Adds a Wistia player for use in Magento Pop-ups extension
Wistia Video ID,Wistia Video ID
"Width of video, Example: 720","Width of video, Example: 720"
"Height of video, Example: 480","Height of video, Example: 480"
Email Top Text,Email Top Text
Email Bottom Text,Email Bottom Text
Standard Wistia Player,Standard Wistia Player
TRM Marketing - Ajax Newsletter Subscription for Magento Pop-up,TRM Marketing - Ajax Newsletter Subscription for Magento Pop-up
Adds a ajax newsletter sign-up for use in Magento Pop-ups extension,Adds a ajax newsletter sign-up for use in Magento Pop-ups extension
Submit Button Text,Submit Button Text
The text that is displayed on the submit button,The text that is displayed on the submit button
Input Default Text,Input Default Text
The text that is displayed in the input box by default,The text that is displayed in the input box by default
Sign-up Success Text,Sign-up Success Text
The text that is displayed when a visitors subscribes,The text that is displayed when a visitors subscribes
Close on Sign-up after,Close on Sign-up after
Do not auto-close,Do not auto-close
Instantly,Instantly
1 Second,1 Second
3 Seconds,3 Seconds
5 Seconds,5 Seconds
20 Seconds,20 Seconds
Track Conversion,Track Conversion
GA Conversion Event Label,GA Conversion Event Label
The event label that will be passed to Google Analytics upon conversion.,The event label that will be passed to Google Analytics upon conversion.
Cookie expiry on sign-up,Cookie expiry on sign-up
Use pop-up expirey,Use pop-up expirey
Send Email,Send Email
Shopping Cart Promotion,Shopping Cart Promotion
The shopping cart promotion to generate the coupon from.,The shopping cart promotion to generate the coupon from.
Coupon Code Length,Coupon Code Length
Ajax newsletter signup,Ajax newsletter signup
Terms Callout Text,Terms Callout Text
The text that after the checkbox,The text that after the checkbox
Terms Link Label,Terms Link Label
The text that is displayed on the terms link,The text that is displayed on the terms link
Terms URL,Terms URL
The URL for the terms,The URL for the terms
TRM Marketing - Countdown to Pop-up Until Date for Magento Pop-up,TRM Marketing - Countdown to Pop-up Until Date for Magento Pop-up
Adds a countdown to the pop-up until date for use in Magento Pop-ups extension,Adds a countdown to the pop-up until date for use in Magento Pop-ups extension
Countdown to Pop-up Until Date,Countdown to Pop-up Until Date
TRM Marketing - Privacy Table Widget,TRM Marketing - Privacy Table Widget
Adds cookies used in Magento Pop-ups extension,Adds cookies used in Magento Pop-ups extension
Append privacy to existing table,Append privacy to existing table
Create new privacy table,Create new privacy table
TRM Marketing - Close button for Magento Pop-up,TRM Marketing - Close button for Magento Pop-up
Adds a close button for use in Magento Pop-ups extension,Adds a close button for use in Magento Pop-ups extension
Link Text,Link Text
Close button text,Close button text
Close Button,Close Button
TRM Marketing - Open Pop-up Link for Magento Pop-up,TRM Marketing - Open Pop-up Link for Magento Pop-up
Adds a link to open a pop-up for use in Magento Pop-ups extension,Adds a link to open a pop-up for use in Magento Pop-ups extension
Open Button,Open Button
Select Popup,Select Popup
Open button text,Open button text
TRM Marketing - Link for Magento Pop-up,TRM Marketing - Link for Magento Pop-up
Adds a link for use in Magento Pop-ups extension,Adds a link for use in Magento Pop-ups extension
Button text,Button text
Link URL,Link URL
Link css,Link css
General Link,General Link
TRM Marketing - Social Share for Magento Pop-up,TRM Marketing - Social Share for Magento Pop-up
Adds social sharing buttons for use in Magento Pop-ups extension,Adds social sharing buttons for use in Magento Pop-ups extension
Facebook Share,Facebook Share
Facebook Share URL,Facebook Share URL
Eg. http://www.example.com,Eg. http://www.example.com
Google+ Share URL,Google+ Share URL
Eg. http://www.example.com,Eg. http://www.example.com
Twitter Share,Twitter Share
Twitter Tweet,Twitter Tweet
Eg. Check out this great product http://www.example.com,Eg. Check out this great product http://www.example.com
Pinterest Share,Pinterest Share
Pinterest Pin URL,Pinterest Pin URL
Eg. http://www.example.com,Eg. http://www.example.com
Media URL,Media URL
Eg. http://www.example.com/media/image.jpg,Eg. http://www.example.com/media/image.jpg
Pin Description,Pin Description
LinkedIn Share,LinkedIn Share
LinkedIn Share URL,LinkedIn Share URL
Eg. http://www.example.com,Eg. http://www.example.com
Link Title,Link Title
Link Summary,Link Summary
Link Source,Link Source
Standard Social Sharing Links,Standard Social Sharing Links
TRM Marketing - Force a Pop-up for Magento Pop-up,TRM Marketing - Force a Pop-up for Magento Pop-up
Adds a forced pop-up for use in Magento Pop-ups extension,Adds a forced pop-up for use in Magento Pop-ups extension
Force Pop-up,Force Pop-up
TRM Marketing - Exit Pop-up for Magento Pop-up,TRM Marketing - Exit Pop-up for Magento Pop-up
Adds an exit pop-up for use in Magento Pop-ups extension,Adds an exit pop-up for use in Magento Pop-ups extension
Exit Pop-up,Exit Pop-up
TRM Marketing - Simple Product Add to Cart Link Magento Pop-up,TRM Marketing - Simple Product Add to Cart Link Magento Pop-up
Adds an add to cart link for a simple product with no custom options for use in Magento Pop-ups extension,Adds an add to cart link for a simple product with no custom options for use in Magento Pop-ups extension
Simple Product ID,Simple Product ID
This product cannot require any custom options,This product cannot require any custom options
Simple Product Add to Cart Link,Simple Product Add to Cart Link
